DOG_ID,mAP,Total_Vids,Query_Vids,Gallery_Vids,Avg_Resolution,Avg_Width,Avg_Height,Avg_Duration_Sec
8ae20b21-8640-4304-a054-4efcf181d495,0.5686815999501185,5,3,2,600x1062,600.0,1062.0,15.52
ba5d57d7-6916-456a-8707-83c570a63394,0.5654306768699435,4,3,1,1208x1564,1208.0,1564.0,11.45
2b9c89fd-e1b5-4038-a6d6-b86be7f0ed40,0.5647506971458404,5,3,2,1008x1792,1008.0,1792.0,7.84
3a7b0fb4-f880-4d85-ada5-132649836bec,0.5631747158172291,5,3,2,1414x1584,1414.0,1584.0,13.47
1f1e1ada-4fbc-4696-8eb7-8ccde4d7c685,0.5626459948776665,6,3,3,780x1387,780.0,1387.0,19.79
bcec2162-d4a2-4962-89ae-ac2605d99ec1,0.5616981670152252,5,2,3,1416x1584,1416.0,1584.0,13.61
633058fe-434c-41d1-a993-66814ef9d446,0.5615302450682068,5,1,4,1248x1663,1248.0,1663.0,14.59
1448ca52-76fe-4ed4-9a74-5669c4d4d26e,0.5609788359788359,4,1,3,1110x1350,1110.0,1350.0,7.94
72c10223-5d12-4d05-a14e-604c3866f412,0.5597975606080745,5,2,3,792x1408,792.0,1408.0,12.17
24cef315-741a-461f-a7a7-74c4994250aa,0.553564926359044,5,2,3,936x1664,936.0,1664.0,9.3
5dc6384d-c637-46cc-a80d-03b29717b450,0.5528387068156685,5,3,2,1280x720,1280.0,720.0,3.67
01298aba-8d74-417d-9ecb-c4fb0ea31425,0.5513111888111888,5,4,1,360x480,360.0,480.0,2.49
17dff0ee-e12f-466f-9b8f-50d33c6d7fdc,0.5461992043533263,5,3,2,864x1536,864.0,1536.0,5.87
0c0b6a70-3f67-403a-a014-e758a5439a4e,0.5456706210773208,5,3,2,1656x2944,1656.0,2944.0,9.11
6f7f2504-eb34-4e57-8a1e-c7bf0cafc7b7,0.5438670346578172,5,3,2,720x1280,720.0,1280.0,6.19
a6fccdd1-eef1-4ed6-814c-4ce71d0937d7,0.5424690929915389,5,3,2,3840x2160,3840.0,2160.0,8.81
2a4d0f25-c8c5-4873-8e5e-54899e076613,0.5422064413068729,5,2,3,1416x1584,1416.0,1584.0,7.83
5ec3815d-08ce-4224-b89c-175e54d05338,0.5400426981405207,5,3,2,720x1280,720.0,1280.0,4.11
1f76a0ed-d93b-4e7a-b3f6-9b2d5a0e73cc,0.5398379069760649,5,1,4,360x480,360.0,480.0,6.21
fed5e6b3-aa0c-4576-8478-652b04dd1cc1,0.5393605953129762,5,2,3,1248x1752,1248.0,1752.0,7.21
63d42f29-7a00-47b7-8382-4e23ced89e9a,0.5390873015873016,5,2,3,648x1152,648.0,1152.0,22.2
bd4e5bda-cedc-4700-ae47-ac922e05335a,0.5357819264069265,5,4,1,1584x1416,1584.0,1416.0,9.57
11ef0c07-0751-4e39-a3bd-db7faab229dd,0.5351553457134463,5,1,4,382x850,382.0,850.0,16.45
1985e9b0-d386-4cd3-ac64-4fc0621dd795,0.5339461291674845,5,2,3,720x1280,720.0,1280.0,10.6
4263c928-a6a8-4da8-803f-e4a96a7eee24,0.5338614113085374,7,3,4,1017x1918,1017.0,1918.0,5.66
12a6926f-d6c3-4654-9a02-550fbe277848,0.5315212961333294,5,3,2,2568x2232,2568.0,2232.0,9.62
517558fa-700f-4341-9c16-df77a667960a,0.5307049267666963,5,3,2,1416x1584,1416.0,1584.0,7.33
d0105797-0b04-4ac5-b7f0-fc2cabae4401,0.5297157622739018,2,1,1,728x1448,728.0,1448.0,11.78
